OID_,OBJECTID_1,OBJECTID_2,OBJECTID,GEOMETRYID,CREATEDATE,EDITDATE,NOTES,TRLNAME,TRLSTATUS,TRLSURFACE,TRLUSE,CREATEUSER,EDITUSER,TRLALTNAME,MAPLABEL,TRLTYPE,TRLCLASS,SEASDESC,MAINTAINER,ISEXTANT,UNITCODE,UNITNAME,GROUPCODE,REGIONCODE,MAPMETHOD,MAPSOURCE,SRCESCALE,SOURCEDATE,XYACCURACY,FACLOCID,FACASSETID,FEATUREID,SEASONAL,TRLFEATTYP,SEGNAME,SEGMENT,UNIT,UNITNUM,STANDARD,USERCLASS,HORSE_USE,OLDNAME,FMSSINFO,FMSS_YRBLT,Lngth_Mtrs,Lngth_Mile,GlobalID,Shape_Leng,PUBLICDISP,DATAACCESS,Shape__Len,GlobalID_2,min_elevat,max_elevat,total_elev
101,103.000000000000000,104.000000000000000,134.000000000000000,78dd5ff6-cf9d-4aa2-9d23-d61283b59cd4,1442534400000.000000000000000,1691164762044.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,519.612861394979973,0.322871817441925,{D966E67A-E073-47E6-BC38-FADC7D7C3995},519.421821209999962,Public Map Display,Unrestricted,519.421821213284034,4cbf44f4-37a5-4de6-8bc5-d78da636a09f,2516.836914062500000,2559.005859375000000,-42.168945312500000
102,104.000000000000000,105.000000000000000,135.000000000000000,cad36cbe-024a-45c1-8ca7-4f0b355f50b4,1442534400000.000000000000000,1691164762333.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,Moraine Park 18,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,442.976584815453009,0.275252338134223,{AED160E8-923A-4098-9F3C-9B69FED646E7},442.813366830000007,Public Map Display,Unrestricted,442.813366833245027,8ca6a88a-4491-4c7b-9de9-1d6dfeea1b63,2516.836914062500000,2516.836914062500000,0.000000000000000
103,105.000000000000000,106.000000000000000,136.000000000000000,402bb1f1-2915-4e98-8df3-7f1c8497b08d,1442534400000.000000000000000,1691164762605.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,622.099897324745029,0.386554181781490,{890974CD-EAEF-4D9E-8DCC-D773F6B95390},621.870787990000053,Public Map Display,Unrestricted,621.870787989704013,911ab860-c231-4d94-862c-4cf715aea4cc,2516.836914062500000,2516.836914062500000,0.000000000000000
104,106.000000000000000,107.000000000000000,137.000000000000000,9359bcf0-c1aa-4f01-a262-ac75debe798f,1442534400000.000000000000000,1691164762863.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Beaver Meadows Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,1176.281254478310075,0.730905823687041,{9D3862BC-6A09-469B-924F-B522FC0A8789},1175.844773849999910,Public Map Display,Unrestricted,1175.844773854370032,4556236d-931e-40d3-a37f-9387e3a28dfa,2400.471923828125000,2510.020019531250000,-109.548095703125000
105,107.000000000000000,108.000000000000000,138.000000000000000,cdfc0b1d-9b22-4cc7-981a-6897df3ac3e5,1442534400000.000000000000000,1691164763130.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Beaver Meadows Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,645.980727023552959,0.401393011725336,{C44D279D-5B05-4A2B-91EA-470BC2F116EA},645.741205069999978,Public Map Display,Unrestricted,645.741205073137962,bbb4594f-64fc-43f5-9961-51eea52ec7ab,2510.020019531250000,2510.020019531250000,0.000000000000000
106,108.000000000000000,109.000000000000000,139.000000000000000,3cd7f2e3-2aef-4f4c-8046-f7d83e821598,1442534400000.000000000000000,1691164763402.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,2070.870666184439870,1.286776801257600,{20F859A8-E2FA-4766-9F10-CFCA30837440},2070.105750109999917,Public Map Display,Unrestricted,2070.105750105470179,c22a0508-3200-4194-8ea0-bf2e7049520b,2510.020019531250000,2516.836914062500000,-6.816894531250000
107,109.000000000000000,110.000000000000000,141.000000000000000,a00e5be4-5a65-41d5-9423-3652ab5a0a23,1442534400000.000000000000000,1691164763704.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Upper Beaver Mdw Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,1687.268372547890067,1.048417863434510,{C705B9CF-59AC-4B05-BAF7-3904D68EAA0B},1686.651731129999916,Public Map Display,Unrestricted,1686.651731126469940,6808d5f9-74bc-48ee-b1f1-78f53b2be065,2559.005859375000000,2824.609863281250000,265.604003906250000
108,110.000000000000000,111.000000000000000,142.000000000000000,4cbb8274-8263-481a-87bd-22ebb753ed1b,1442534400000.000000000000000,1691164763958.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,716.181926114506950,0.445013927258967,{BF72FBCB-2A3F-43AD-A002-6459BE776300},715.919040089999953,Public Map Display,Unrestricted,715.919040090327030,115fc856-4fe0-4baa-b758-6f10991294d0,2559.005859375000000,2559.005859375000000,0.000000000000000
109,111.000000000000000,112.000000000000000,143.000000000000000,84524ff4-9c8d-4a1e-addf-aa16081d0d14,1442534400000.000000000000000,1691164764258.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,822.018882865058004,0.510777831729756,{651349C0-8E54-4B09-BD52-0DF8B2CDAF13},821.717111899999963,Public Map Display,Unrestricted,821.717111895361995,ee06502e-f75b-42db-9725-e64c4897b1b5,2559.005859375000000,2559.005859375000000,0.000000000000000
110,112.000000000000000,113.000000000000000,144.000000000000000,9dd3d7ab-92d2-40a9-9231-4e59bb720773,1442534400000.000000000000000,1691164764544.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,116.931932304621000,0.072657988870469,{5634B149-BF67-41A4-BDA0-F385377301CA},116.889061190000007,Public Map Display,Unrestricted,116.889061184653002,6f6d9042-8c36-4431-a6a9-664e70a4f9a4,2559.005859375000000,2559.005859375000000,0.000000000000000
111,113.000000000000000,114.000000000000000,145.000000000000000,38a8a185-e542-42a5-8770-374fe2cfc7df,1442534400000.000000000000000,1691164764813.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,287.495689105879023,0.178641181819736,{E34CCDB4-8C06-428A-BEB9-91A07F973935},287.390340910000020,Public Map Display,Unrestricted,287.390340911150020,d3722836-b827-416c-9a99-429fc860b98a,2559.005859375000000,2559.005859375000000,0.000000000000000
112,114.000000000000000,115.000000000000000,146.000000000000000,35188bb9-c2da-47bf-89df-f1c8debc3f9c,1442534400000.000000000000000,1691164765072.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,650.902067490744002,0.404450984802882,{4AC2F88C-E57D-4F3A-9009-61B35862C721},650.662036459999968,Public Map Display,Unrestricted,650.662036459553974,35548703-d3f6-469a-bbcf-aa2b8b82e345,2516.836914062500000,2516.836914062500000,0.000000000000000
113,115.000000000000000,116.000000000000000,147.000000000000000,79ff15ff-b254-4d23-b4d1-2f6c24b02912,1442534400000.000000000000000,1691164765328.000000000000000, ,Moraine Park Museum Trails,Existing,Earth,Hiker/Pedestrian,Geoff Clark,romo_gis,MORAINE MUSEUM AMPITHEATER TRAIL,Discovery Center Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Autonomous GPS,GPS,1:10000, ,3-5m,32545, , ,No,Park Trail,MORAINE PARK MUSEUM TRAILS,FR-34,FRONT RANGE,1.000000000000000,B,F,N,MORAINE MUSEUM AMPITHEATER TRAIL,FR-34 Moraine Park Museum Trail,1934,44.793906007214503,0.027833587113384,{220FE062-3F39-4A53-A2CB-F4A2A9F9A0C2},44.777348179999997,Public Map Display,Unrestricted,44.777348179940603,af9230f1-3407-4169-9f57-3038852671a7,2510.020019531250000,2510.020019531250000,0.000000000000000
114,116.000000000000000,117.000000000000000,148.000000000000000,f4512b9e-a656-4f57-b646-560d37cf8bad,1442534400000.000000000000000,1691164765615.000000000000000, ,Moraine Park Museum Trails,Existing,Earth,Hiker/Pedestrian,Geoff Clark,romo_gis,MORAINE MUSEUM AMPITHEATER TRAIL,Discovery Center Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Autonomous GPS,GPS,1:10000, ,3-5m,32545, , ,No,Park Trail,MORAINE PARK MUSEUM TRAILS,FR-34,FRONT RANGE,1.000000000000000,B,F,N,MORAINE MUSEUM AMPITHEATER TRAIL,FR-34 Moraine Park Museum Trail,1934,14.166740282539600,0.008802786693870,{D2D91A7F-6A5A-4257-A441-27089FEC5CF7},14.161503400000001,Public Map Display,Unrestricted,14.161503403714599,6ea60c09-9478-4c37-932c-34aaec25cb47,2510.020019531250000,2510.020019531250000,0.000000000000000
115,117.000000000000000,118.000000000000000,149.000000000000000,33155d4f-3ce7-4c49-a383-090eb2a213dc,1442534400000.000000000000000,1691164765898.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,128.303135780887004,0.079723713000213,{3E1012A8-B1F2-4A73-8460-CC76E32B8930},128.256106460000012,Public Map Display,Unrestricted,128.256106464059002,17c97209-d48d-4d9e-a4d7-52d4153877c8,2559.005859375000000,2559.005859375000000,0.000000000000000
116,118.000000000000000,119.000000000000000,150.000000000000000,abff4d33-a20f-449b-921b-ef9906ef64d7,1442534400000.000000000000000,1691164766194.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,97.822054196486803,0.060783684875563,{2D122FA8-D4BE-4DC1-8D43-3EE10006D17F},97.786204200000000,Public Map Display,Unrestricted,97.786204200926605,ec07d29f-8ca4-4de1-8c11-de62182b66ac,2559.005859375000000,2559.005859375000000,0.000000000000000
117,119.000000000000000,120.000000000000000,152.000000000000000,97fb71b8-3b75-4cfd-9034-7b919b3c4839,1442534400000.000000000000000,1691164766488.000000000000000, ,Moraine Park Museum Trails,Existing,Earth,Hiker/Pedestrian,Geoff Clark,romo_gis,MORAINE MUSEUM AMPITHEATER TRAIL,Discovery Center Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Autonomous GPS,GPS,1:10000, ,3-5m,32545, , ,No,Park Trail,MORAINE PARK MUSEUM TRAILS,FR-34,FRONT RANGE,1.000000000000000,B,F,N,MORAINE MUSEUM AMPITHEATER TRAIL,FR-34 Moraine Park Museum Trail,1934,33.538875438658003,0.020840049337436,{12AB4D1D-B155-4B76-A110-DE0785CD6C8F},33.526477810000003,Public Map Display,Unrestricted,33.526477810434500,106270c8-d7bc-4aea-97ab-4d199644b9e3,2510.020019531250000,2510.020019531250000,0.000000000000000
118,120.000000000000000,121.000000000000000,153.000000000000000,36df2085-57ea-4a57-94fe-3540bf79a876,1442534400000.000000000000000,1691164766773.000000000000000, ,Moraine Park Museum Trails,Existing,Earth,Hiker/Pedestrian,Geoff Clark,romo_gis,MORAINE MUSEUM AMPITHEATER TRAIL,Discovery Center Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Autonomous GPS,GPS,1:10000, ,3-5m,32545, , ,No,Park Trail,MORAINE PARK MUSEUM TRAILS,FR-34,FRONT RANGE,1.000000000000000,B,F,N,MORAINE MUSEUM AMPITHEATER TRAIL,FR-34 Moraine Park Museum Trail,1934,99.900142890580099,0.062074946742458,{5A01FDF7-FD75-411B-94D4-7E94DE759945},99.863208639999996,Public Map Display,Unrestricted,99.863208640700904,3682c791-c9ca-4b7b-99f3-b86860cd916a,2510.020019531250000,2510.020019531250000,0.000000000000000
119,121.000000000000000,122.000000000000000,154.000000000000000,32ac7f28-d5d5-4a44-b871-14a46a50e5f8,1442534400000.000000000000000,1691164767032.000000000000000, ,Bowen / Baker Usfs Access Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,BOWEN BAKER GULCH TRAILS,Bowen Baker Gulch Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14937, , ,No,Park Trail,BOWEN/BAKER USFS ACCESS,KA-06,KAWUNEECHE VALLEY,8.000000000000000,D,ALL,Y,BOWEN BAKER GULCH TRAILS,KA-06 Bowen Baker Access Trail,1915,646.877562550322978,0.401950278371310,{0567E9DD-D8DB-4EEE-9849-671831603DA2},646.661827349999953,Public Map Display,Unrestricted,646.661827350393992,b903a3de-055e-4ff7-939f-14447db585ca,2764.072509765625000,2829.894775390625000,2.025146484375000
120,122.000000000000000,123.000000000000000,156.000000000000000,53bbd8ca-df5b-4225-9c5b-3df2ee14d6ca,1442534400000.000000000000000,1691164767282.000000000000000, ,Moraine Park Museum Trails,Existing,Earth,Hiker/Pedestrian,Geoff Clark,romo_gis,MORAINE MUSEUM AMPITHEATER TRAIL,Discovery Center Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Autonomous GPS,GPS,1:10000, ,3-5m,32545, , ,No,Park Trail,MORAINE PARK MUSEUM TRAILS,FR-34,FRONT RANGE,1.000000000000000,B,F,N,MORAINE MUSEUM AMPITHEATER TRAIL,FR-34 Moraine Park Museum Trail,1934,494.100696731973983,0.307019324973766,{65087FF3-0B08-463E-8C51-6F1D35098E34},493.917983170000014,Public Map Display,Unrestricted,493.917983165159001,14ca6dfe-a64f-465e-91a6-ffebad824cfd,2510.020019531250000,2510.020019531250000,0.000000000000000
121,123.000000000000000,124.000000000000000,157.000000000000000,5b763722-903f-445d-9bb6-0e5dcc558eb1,1442534400000.000000000000000,1691164767532.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,129.278011156077014,0.080329471262859,{DA2D9951-4BFD-460F-90FA-4AB1F24CFBF0},129.230620219999992,Public Map Display,Unrestricted,129.230620216418998,ed899317-6a6b-49b0-863c-44af1babb3d3,2559.005859375000000,2559.005859375000000,0.000000000000000
122,124.000000000000000,125.000000000000000,158.000000000000000,8f7e94f6-aa6c-43f7-8ab7-437ab440a6bb,1442534400000.000000000000000,1691164767811.000000000000000, ,Ute Trail East,Existing,Earth,Hiker/Pedestrian,Geoff Clark,romo_gis,UTE TRAIL,Ute Tr (East),Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,20801, , ,No,Park Trail,UTE TRAIL EAST,TR-06,TRAIL RIDGE,7.000000000000000,F,F,N,UTE TRAIL,TR-06 Ute Trail East (TRR to Upper Beaver Meadows,1915,7525.937371087239626,4.676391324174630,{9CF8024E-2431-48A3-8EB3-0C77E0B80928},7523.222600740000416,Public Map Display,Unrestricted,7523.222600740519738,2aa5c57c-9830-41bc-b45a-2ba818fe8c85,2596.542236328125000,3425.874023437500000,-601.264160156250000
123,125.000000000000000,126.000000000000000,159.000000000000000,e11ec127-67fd-4aa6-bf83-39af4527def9,1442534400000.000000000000000,1691164768072.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,217.169722904568005,0.134942739753044,{38EEEF62-A477-4A72-B8AF-01E840A4C6D8},217.090005630000007,Public Map Display,Unrestricted,217.090005628136993,d72a509a-7d0f-4cf2-b67b-ace5677f6556,2507.858886718750000,2559.005859375000000,51.146972656250000
124,126.000000000000000,127.000000000000000,160.000000000000000,762d0540-49fd-44b9-a7d5-a779b8f36bfe,1442534400000.000000000000000,1691164768332.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,240.323717969655007,0.149329936497243,{BC469143-BE50-4121-BE7E-6EA9584EDB0E},240.235672270000009,Public Map Display,Unrestricted,240.235672267600989,c642015c-7cc3-4f86-a1be-2921fd558e55,2507.858886718750000,2559.005859375000000,-51.146972656250000
125,127.000000000000000,128.000000000000000,161.000000000000000,ba571733-06ef-444f-beaf-512fb5d0b6c0,1442534400000.000000000000000,1691164768640.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,222.014262382633007,0.137952991003855,{1183E11E-B05F-477E-99D3-C9F967EF1935},221.932906349999996,Public Map Display,Unrestricted,221.932906347264009,4a124dd2-7764-4e27-86b0-46abdfd3580c,2507.858886718750000,2559.005859375000000,51.146972656250000
126,128.000000000000000,129.000000000000000,162.000000000000000,52c31c2c-9fe6-4a7c-8ea4-c3d976c1f3ac,1442534400000.000000000000000,1691164768899.000000000000000, ,Beaver Meadows / Moraine Park Complex Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,DEER RIDGE-MORAINE PARK TRAIL,Moraine Park Tr,Standard Terra Trail,Class 4: Highly Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized,DOQQ/2008,1:24000, ,3-5m,32542, , ,No,Park Trail,BEAVER MEADOWS/MORAINE PARK COMPLEX,FR-30,FRONT RANGE,1.000000000000000,C,ALL,Y,DEER RIDGE-MORAINE PARK TRAIL,FR-30 Beaver Meadows/Moraine Park complex,1915,340.513762351958974,0.211585019314972,{AF9516BB-66E7-4550-B394-78B569FC4895},340.389075839999975,Public Map Display,Unrestricted,340.389075838099984,d6236aca-f986-4b1a-85bc-b3c141337d93,2507.858886718750000,2559.005859375000000,0.000000000000000
